@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
2,22,11-20,Android,he,'Xiaomi ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,66,3,0,0,0,0,0,0,0,1
4,7,21-30,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,927,26,0,1,0,1,1,0,0,1
5,19,21-30,Android,en,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,285,3,0,0,0,0,0,0,0,1
7,6,41-50,Android,he,'LG ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,135,4.5,0,0,0,0,0,0,0,1
2,16,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,72,3,0,0,0,0,0,0,0,1
7,20,11-20,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,261,4,0,0,0,0,0,0,0,1
3,9,51-60,Android,he,'LG ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,341.5,15.5,0,0,0,0,0,0,0,1
7,23,31-40,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,833,4,0,0,0,0,0,0,0,1
7,17,01-10,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,77,3,0,0,0,0,0,0,0,1
1,10,21-30,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,508.333333,11,0,0,0,0,0,0,0,1
3,10,21-30,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,612.571429,12.142857,0,0,0,0,0,0,0,1
1,17,11-20,Android,he,'Samsung ',1,google,organic,'Organic Search',(none),MOBILE_WEB,198,4,0,0,0,0,0,0,0,1
7,15,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,722,6,0,0,0,0,0,0,0,1
5,22,11-20,Android,he,'Samsung ',1,google,organic,'Organic Search',(none),MOBILE_WEB,491,14,0,1,0,0,0,0,0,1
2,13,31-40,iOS,nl,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,332,3,0,0,0,0,0,0,0,1
7,16,21-30,Android,en,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,1126,22,0,0,0,0,0,0,0,1
3,15,21-30,Android,he,'Xiaomi ',1,(direct),(none),Direct,(none),MOBILE_WEB,474,4,0,0,0,0,0,0,0,1
3,14,21-30,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,74,4,0,0,0,0,0,0,0,1
