@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
7,16,41-50,iOS,ru,'Apple iPhone','Apple ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,1406,29,0,1,0,0,1,0,0,0
4,6,51-60,iOS,he,'Apple iPhone','Apple ',39,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,39,3,0,1,0,0,0,0,0,0
2,4,41-50,iOS,he,'Apple iPhone','Apple ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,175,6,0,1,0,0,0,0,0,0
2,15,11-20,Android,he,'LG D855 G3','LG ',30,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,164,8.333333,0,1,0,1,0,0,0,0
5,8,51-60,Android,he,'Samsung SM-G930F Galaxy S7','Samsung ',72,51+,(direct),(none),Direct,(none),MOBILE_WEB,48.5,3,0,1,0,1,1,0,0,0
4,10,51-60,Android,he,'LG H990 V20','LG ',32,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,493,26.8,0,1,0,0,1,1,1,0
5,9,21-30,Android,he,'LG D855 G3','LG ',34,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,2,1.5,0,1,0,0,0,0,0,0
4,15,51-60,Android,he,'LG D855 G3','LG ',253,51+,google,organic,'Organic Search',(none),MOBILE_WEB,69,3,0,1,0,0,0,0,0,0
5,23,11-20,Android,he,'Samsung SM-J700F Galaxy J7','Samsung ',497,51+,google,cpc,'Paid Search','Yad2 - Brand E',MOBILE_WEB,1822.666667,68,0,1,1,0,0,0,0,0
3,7,41-50,iOS,en,'Apple iPhone','Apple ',2,2,(direct),(none),Direct,(none),MOBILE_APP_IOS,639,13,0,1,0,0,1,0,0,0
3,15,21-30,Android,he,'Samsung SM-J700F Galaxy J7','Samsung ',43,21-50,(direct),(none),Direct,(none),MOBILE_WEB,1512,38,0,1,0,1,0,0,0,0
5,18,11-20,Android,ru,'Lenovo K50-t5 K3 Note','Lenovo ',51,51+,(direct),(none),Direct,(none),MOBILE_WEB,1421.2,33.4,0,1,0,0,0,0,0,0
1,6,11-20,iOS,he,'Apple iPhone','Apple ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,72,3,0,1,0,0,0,0,0,0
1,17,11-20,Android,en,'Google Nexus 5X','Google ',2,2,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,157.5,10,0,1,0,1,1,0,0,0
7,16,41-50,iOS,he,'Apple iPhone','Apple ',103,51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,439,25.666667,0,1,0,0,1,0,0,0
5,17,51-60,Android,he,'Samsung SM-G930F Galaxy S7','Samsung ',22,21-50,(direct),(none),Direct,(none),MOBILE_WEB,61,4,0,1,0,0,0,0,0,0
3,8,31-40,iOS,he,'Apple iPhone','Apple ',13,11-20,(direct),(none),Direct,(none),MOBILE_APP_IOS,1291.090909,35.909091,0,1,0,1,1,0,0,0
5,21,31-40,Android,he,'Feiteng GT-i9300','Feiteng ',42,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,1326.333333,42.666667,0,1,0,0,1,0,0,0
3,8,21-30,iOS,he,'Apple iPhone','Apple ',47,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,202,11,0,1,0,1,1,0,0,0
3,20,51-60,Android,he,'Samsung SM-N920C Galaxy Note 5','Samsung ',12,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,28,2,0,1,0,0,0,0,0,0
7,22,01-10,Android,he,'Samsung SM-J100FN Galaxy J1','Samsung ',149,51+,google,organic,'Organic Search',(none),MOBILE_WEB,1265,21.571429,1,1,1,0,0,0,0,0
7,17,31-40,Android,he,'(not set)','(not ',2,2,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,879,30,0,1,0,1,0,0,0,0
1,0,21-30,Android,he,'Samsung SM-G900F Galaxy S5','Samsung ',104,51+,(direct),(none),Direct,(none),MOBILE_WEB,609,30,0,1,0,1,1,0,0,0
